identifier,statement_code,description,academic_subject,grade_level,statement_type
9cf8ddd0-d5b4-4e40-b9ee-47110611a3d2,DALE-CN.4-5.explicar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar explicaciones para...
* describir las observaciones y/o evidencias sobre un fenómeno
* establecer posturas neutrales u objetivas al describir teorías o conceptos
* dilucidar el razonamiento para mostrar las relaciones entre las evidencias y las afirmaciones
* resumir y/o comparar múltiples soluciones a problemas en función de qué tan bien cumplen con los criterios y limitaciones de la solución desarrollada
* representar el análisis de datos
* describir relaciones de modelos científicos a sistemas y fenómenos naturales",English Language Arts,"['4', '5']",Standard
3d53df71-b110-4812-86da-174055512ef9,,Oración,English Language Arts,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",Other
6ca764e6-dd97-4306-92a0-16a9a5c4fafc,ASP.2-12.PART.N2-4,"Hacia el final de cada nivel de desempeño lingüístico, con los apoyos apropiados, los estudiantes bi/multilingües podrán…Escuchar ideas de otros y contribuir las propias…De manera voluntaria.",English Language Arts,"['2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12']",Other
c29003fc-85d0-41b9-9f0f-02d5d71ba287,DALE-CN.4-5.argumentar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar argumentos para...
* introducir problemas relacionados con el mundo natural y el artificial
* hacer y definir posturas basadas en evidencias, datos y/o modelos
* establecer un tono neutral o una postura objetiva
* formular relaciones lógicas entre razonamientos, evidencias relevantes, datos y/o modelos al generar una postura
* desafiar los fundamentos de evidencia científica presentados por otros
* criticar o apoyar soluciones o diseños científicos",English Language Arts,"['4', '5']",Standard
eb7ebdab-b327-429b-8568-1072c8fd1f0d,DALE-MA.K.informar.interactivo,"Por medio de su repertorio lingüístico y utilizando
artefactos multimodales, los estudiantes bi/multilingües podrán interactuar con otros
(personas y medios) sobre información para...
* profundizar el conocimiento de conceptos concretos
* modelar conceptos matemáticos
* diseñar gráficos o ilustrar datos
* crear patrones
* generar problemas matemáticos
* negociar el uso de herramientas en la resolución de problemas matemáticos",English Language Arts,['K'],Standard
cdc8eb19-623c-4a25-ad2f-74eb12136c47,DALE-MA.K.informar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar información para...
* definir o clasificar conceptos concretos
* describir conceptos matemáticos
* comparar y contrastar datos
* detallar patrones
* resolver problemas matemáticos
* demostrar el uso de herramientas apropiadas en la resolución de problemas matemáticos",English Language Arts,['K'],Standard
29747d3a-d9f0-4dde-b18b-a21c06ebb941,ASP.K-1.CTXT.N1-2,"Hacia el final de cada nivel de desempeño lingüístico, con los apoyos apropiados, los estudiantes bi/multilingües podrán…Reconocer, reaccionar y hacer ajustes al lenguaje (incluyendo gestos y expresiones) durante intercambios…Para intercambiar las ideas principales.",English Language Arts,"['K', '1']",Other
015bdf23-7759-4f17-ae45-63e342151955,,Oración,English Language Arts,"['K', '1']",Other
37fdf67a-14bc-4bbf-b2ef-425c535694c9,DALE-SA.1.relatar.interactivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interactuar con otros (personas y medios) sobre relatos para...
* compartir ejemplos de responsabilidades y acciones que ayudan a valerse por sí mismo
* dialogar sobre los efectos de diferentes emociones
* intercambiar experiencias vividas y aprendizajes previos
* conectar imágenes y representaciones en historias para agregar significado
* hacer y responder a preguntas sobre lo que otros han compartido
* discutir el final de historias o los próximos pasos a seguir",English Language Arts,['1'],Standard
2943e582-7fce-44af-a37b-77bf5c80a13e,DALE-AL.9-12.argumentar.interactivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán interactuar con otros (personas y medios) sobre argumentos para...
* crear declaraciones claras, precisas y coherentes
* intercambiar declaraciones, contraposiciones, razonamiento válido y evidencia lógica
* adoptar un estilo formal y un tono objetivo
* contribuir resoluciones con recomendaciones
* discutir ideas centrales de textos multimodales bilingües haciendo énfasis en el desarrollo del razonamiento
* seleccionar conocimientos basados en investigaciones e ideas sintetizadas de varias
fuentes",English Language Arts,"['9', '10', '11', '12']",Standard
70bb3114-4b45-4a0b-8ecf-74f808067af7,CD.K-1.Dis.N5,"Hacia el final de cada nivel de desempeño lingüístico, con los apoyos apropiados, los estudiantes bi/multilingües podrán…Entender y demostrar cómo se crea la organización y coherencia en mensajes (orales, escritos y multimodales) a través de…Textos multimodales que siguen la organización y convenciones de géneros comunes y que usan conectores comunes para conectar ideas.",English Language Arts,"['K', '1']",Other
aa424280-4dba-4fce-9e09-f881a9161f1a,,4º y 5º GRADO,English Language Arts,"['4', '5']",Standard Grouping
89fc0a72-65c8-4399-9212-c0e2d9efce96,,Kínder,English Language Arts,['K'],Standard Grouping
4c47841f-fa3b-4850-b772-b75465c03937,DALE-CS.1.argumentar.expresivo,"Por medio de su repertorio lingüístico y utilizando artefactos multimodales, los estudiantes bi/multilingües podrán expresar argumentos para...
* introducir temas
* proveer información que pueda ser usada como evidencia para apoyar una afirmación
* defender fuentes usando las distinciones entre hechos y opiniones
* comparar beneficios y dificultades en la toma de decisiones personales
* sugerir cambios en las costumbres, tradiciones y formas de vida en su entorno circundante",English Language Arts,['1'],Standard
