identifier,name,description
cc64bba3-b517-5c0a-a4ab-3416bd8c4f90,,Solve problems leading to an exponential equation in one variable in a contextual situation
dcebba18-68d9-5c60-bc7e-dd92df78d516,,Solve problems leading to a linear inequality in one variable in a contextual situation
e1ea4b5b-25dd-560d-a6be-86974b1f8ff1,,Solve problems leading to a linear equation in one variable in a contextual situation
e5c2ed40-fb82-5cd5-a5ab-aad2a322f64f,,Solve problems leading to an absolute value linear equation in one variable in a contextual situation
e903ca04-e689-5d23-905c-2e3c038367ed,,Create square root inequalities in one variable in a contextual situation
41261db0-5e95-5198-ae17-0e905db9ab53,,Rewrite an expression in different forms in a problem context
75924fc9-b2ad-5273-b21d-e7b8c262153a,,Interpret how quantities in an expression are related
051034c9-6867-50df-81ba-8a5dc6629e8e,,"Recognize that in a multi-digit number (including decimals), a digit in one place represents 1/10 what it represents in the place to its left"
ba0b5da7-336a-54af-bc1d-c4fbceb2df62,,"Recognize that in a multi-digit number (including decimals), a digit in one place represents ten times what it represents in the place to its right"
0edaa02c-0e8e-5b84-a494-665b641dba4b,,Graph proportional relationships
c7ca6f31-ac92-53a4-aa20-6cd3ccb6b797,,Interpret the slope of the graph of a proportional relationship as the unit rate
fbbff3cd-ef58-5383-ab5a-94c445fcd933,,Compare two proportional relationships represented in different ways
e2c041dc-be4f-55ae-b02c-ac6e09b82173,,Extend properties of exponents to justify the interpretation of fractional exponents
e3333e44-9d4e-54a9-a427-00f3523532f9,,Recognize that the denominator of the rational exponent is the root index and the numerator is the exponent of the radicand
48cb8621-0c51-560b-a565-ddd9f6e5f5fc,,Reproduce a scale drawing at a different scale (using proportional reasoning)
9ffdee4b-84bd-56cd-b894-fbec5c1df544,,Compute actual lengths from a scale drawing (using proportional reasoning)
f75552e4-5ff9-5df8-a686-b30b0b1f19f7,,Compute actual areas from a scale drawing (using proportional reasoning)
4a3655e0-0275-5949-a449-f9b8088763bf,,Interpret key features of graphs and tables that represent a function that models a real world relationship between two quantities
4d3237bd-56eb-5b2c-9e0f-47a73d0e57b4,,"Given the key features of a function, sketch the graph"
52473267-d034-5618-be1d-904cf3c06fd2,,"Given the key features of a quadratic function, sketch the graph"
a904613a-b364-5f0b-ae0e-71ab92e51a41,,"Given the key features of a linear function, sketch the graph"
cb330a1c-ce97-5881-a22f-6afdf45c205d,,"Given the key features of a exponential function, sketch the graph"
54e86591-b40f-5d88-96fd-74fd2880ba83,,"Tell time from a digital clock, using a.m. and p.m. when appropriate"
9af7bd3c-21c3-5f1f-8e5d-0315073e3484,,"Tell time from an analog clock, using a.m. and p.m. when appropriate"
