standard_id,prerequisite_id,prerequisite_code
6ba12b02-d7cc-11e8-824f-0242ac160002,6b9f77af-d7cc-11e8-824f-0242ac160002,6.NS.C.5
6ba25656-d7cc-11e8-824f-0242ac160002,6b9f5a86-d7cc-11e8-824f-0242ac160002,3.MD.C.5
6ba25656-d7cc-11e8-824f-0242ac160002,6ba20290-d7cc-11e8-824f-0242ac160002,3.MD.C.7.c
6ba07a82-d7cc-11e8-824f-0242ac160002,6b9caa8d-d7cc-11e8-824f-0242ac160002,HSG-CO.C.10
6ba07a82-d7cc-11e8-824f-0242ac160002,6ba017c6-d7cc-11e8-824f-0242ac160002,HSG-SRT.C.6
6b9ca5d9-d7cc-11e8-824f-0242ac160002,6b9eb642-d7cc-11e8-824f-0242ac160002,1.MD.C.4
6ba0df6b-d7cc-11e8-824f-0242ac160002,6b9e0fbe-d7cc-11e8-824f-0242ac160002,1.OA.B.3
6ba0df6b-d7cc-11e8-824f-0242ac160002,6b9ebb03-d7cc-11e8-824f-0242ac160002,1.OA.B.4
6ba07db3-d7cc-11e8-824f-0242ac160002,6b9c7e76-d7cc-11e8-824f-0242ac160002,HSN-CN.A.1
6ba07db3-d7cc-11e8-824f-0242ac160002,6b9db316-d7cc-11e8-824f-0242ac160002,HSN-CN.A.2
6b9e283e-d7cc-11e8-824f-0242ac160002,6b9ec6c0-d7cc-11e8-824f-0242ac160002,3.OA.A.4
6b9e283e-d7cc-11e8-824f-0242ac160002,6ba0a209-d7cc-11e8-824f-0242ac160002,3.MD.D.8
6b9e283e-d7cc-11e8-824f-0242ac160002,6ba1826d-d7cc-11e8-824f-0242ac160002,3.MD.C.7.b
6ba014b5-d7cc-11e8-824f-0242ac160002,6b9fa609-d7cc-11e8-824f-0242ac160002,HSG-SRT.B.5
6b9f7d68-d7cc-11e8-824f-0242ac160002,6ba04a80-d7cc-11e8-824f-0242ac160002,4.MD.C.7
6b9c70b3-d7cc-11e8-824f-0242ac160002,6b9eebe1-d7cc-11e8-824f-0242ac160002,7.G.B.4
6b9c70b3-d7cc-11e8-824f-0242ac160002,6ba0e7f4-d7cc-11e8-824f-0242ac160002,8.G.C.9
