standard_id,component_id
6b9ef36a-d7cc-11e8-824f-0242ac160002,dab9e9b0-faa3-5080-9f2e-ac82c0ba0346
6b9ef36a-d7cc-11e8-824f-0242ac160002,dd4d95c3-4e5b-511f-b490-f0bf52638e99
6b9ef36a-d7cc-11e8-824f-0242ac160002,e1ce9802-e05b-541d-ae86-641087a49faf
6b9d86d6-d7cc-11e8-824f-0242ac160002,bac2efb6-afa7-518d-be33-714f3a956905
6b9d86d6-d7cc-11e8-824f-0242ac160002,e96d5914-1b25-5d07-80e5-ce0d9fdf863f
6ba1f961-d7cc-11e8-824f-0242ac160002,1d180a4e-19ec-5ad6-9d2a-067e7bff23c2
6ba1f961-d7cc-11e8-824f-0242ac160002,2474815e-4b0c-598c-88a4-cbf10ba11108
6b9d91e7-d7cc-11e8-824f-0242ac160002,4f1cf322-82e0-543b-9d80-c2fa79085fd8
6b9d91e7-d7cc-11e8-824f-0242ac160002,50e80b33-1c0f-5235-a050-ad43976cf7bf
6b9d91e7-d7cc-11e8-824f-0242ac160002,702b51aa-2ef8-51f2-af94-7cc53c8a95f6
6b9d91e7-d7cc-11e8-824f-0242ac160002,c5bb6f18-50f3-50b4-90bb-1392694c0f42
6b9d91e7-d7cc-11e8-824f-0242ac160002,ddd1228a-24ee-5140-a3ea-fff93d8393ae
6b9ef0eb-d7cc-11e8-824f-0242ac160002,0c75837c-d3e8-5e87-beb6-c650eb6fa077
6b9ef0eb-d7cc-11e8-824f-0242ac160002,2687e8fb-2c68-509e-8ca5-56ca08ba3999
6b9ef0eb-d7cc-11e8-824f-0242ac160002,4cc1921c-003d-59bb-89e5-903826594253
6b9ef0eb-d7cc-11e8-824f-0242ac160002,52ad9e03-d6ad-59cf-92b6-983a59f9b7d4
6b9ef0eb-d7cc-11e8-824f-0242ac160002,93a8423a-e120-52d3-827c-2db0fde2a923
6b9ef0eb-d7cc-11e8-824f-0242ac160002,c34d178e-5417-5849-b054-e0fbf5c99ef2
6b9ef0eb-d7cc-11e8-824f-0242ac160002,cad5a87d-5b70-5a8c-b648-138054ab306a
6b9ef0eb-d7cc-11e8-824f-0242ac160002,d4407237-ea99-5f02-960e-4ae6eedc96fb
6b9ef0eb-d7cc-11e8-824f-0242ac160002,d4f29aa5-6c36-5c69-b6d4-d3fa66b70d22
6b9ef0eb-d7cc-11e8-824f-0242ac160002,d6c129bf-c684-51b3-977f-4b56b2be79db
6b9ef0eb-d7cc-11e8-824f-0242ac160002,dc8db438-33f2-5239-8957-e25cdaa9e5e0
6ba1eada-d7cc-11e8-824f-0242ac160002,768d53ed-5358-5708-91c3-53b1df5c189f
6ba0ccae-d7cc-11e8-824f-0242ac160002,05d0879f-43a5-5797-aab7-8083cb9f02a9
6ba0ccae-d7cc-11e8-824f-0242ac160002,561ace34-8a42-5c1b-b84d-1c6bf2aab9ad
6ba0ccae-d7cc-11e8-824f-0242ac160002,f0f82964-123f-5298-83db-afe8b99620b7
6ba03a8f-d7cc-11e8-824f-0242ac160002,32458a68-9a3b-5f62-afa1-99e3e31b9c19
6ba03a8f-d7cc-11e8-824f-0242ac160002,5d2ed8f0-95cd-5086-abd6-54ce74e789e2
6ba03a8f-d7cc-11e8-824f-0242ac160002,93ef1daf-e4e0-56d7-ada3-397bbce1bd5b
6b9c6a73-d7cc-11e8-824f-0242ac160002,d0dc7a0d-45e1-5e0c-b941-4f8f63442879
6b9c3d7d-d7cc-11e8-824f-0242ac160002,3b3c207c-2fbb-594f-bc16-aef719637e52
6b9c3d7d-d7cc-11e8-824f-0242ac160002,f26b664c-7aaf-5f47-bd64-6bd2d7574cca
6b9ef861-d7cc-11e8-824f-0242ac160002,13103f2c-f538-50eb-90e7-440094c0e723
6b9ef861-d7cc-11e8-824f-0242ac160002,412a2d72-fda1-5c7d-9781-9329a5bf1f04
6b9ef861-d7cc-11e8-824f-0242ac160002,49eb9d6a-a869-5dea-9f38-8577e21e8b91
6b9ef861-d7cc-11e8-824f-0242ac160002,bf631804-8622-56ee-ba38-16984854c49c
6b9d73cd-d7cc-11e8-824f-0242ac160002,52ffb8ee-c70d-5076-b2c6-8f3a1b435fa9
6b9d73cd-d7cc-11e8-824f-0242ac160002,9ddaee28-59fe-5fc5-8752-07e538ce90da
6b9ebf9b-d7cc-11e8-824f-0242ac160002,0f972f57-4f94-5bc2-816e-cd7e819a9442
6b9ebf9b-d7cc-11e8-824f-0242ac160002,24cff8cf-a4e1-5427-8d3b-dc20d19489ed
6b9ebf9b-d7cc-11e8-824f-0242ac160002,b404ce7e-82bd-5265-8b6f-843ac9118599
6ba24537-d7cc-11e8-824f-0242ac160002,a766ca44-c654-505f-a2b9-b2f1e3b468b4
6ba0b1df-d7cc-11e8-824f-0242ac160002,7782ce05-1218-5a88-8d2c-ef908e4d8fb4
6b9f77af-d7cc-11e8-824f-0242ac160002,8119c47d-f394-50ff-b630-f4aa64763b52
6b9f77af-d7cc-11e8-824f-0242ac160002,f38825db-1963-5e02-85ea-b722bff5635a
6b9f77af-d7cc-11e8-824f-0242ac160002,f57f8f6c-ec91-5b37-9632-fdb36c088666
6b9be86e-d7cc-11e8-824f-0242ac160002,42d2f53f-81ba-5799-8f91-a43902da4d78
6b9be86e-d7cc-11e8-824f-0242ac160002,511b5ebb-36d0-59c0-9308-4452ce5300eb
6b9be86e-d7cc-11e8-824f-0242ac160002,9d9fd685-c4d8-58ac-b98c-3a5aad283b9d
6b9be86e-d7cc-11e8-824f-0242ac160002,c1eb6d51-b8df-5ce4-ab03-314750e960b8
6b9dbb12-d7cc-11e8-824f-0242ac160002,fd70ea61-d4b0-5e5a-aecf-82bf0aff6480
6ba12b02-d7cc-11e8-824f-0242ac160002,22156372-ad11-5837-9b62-4489288590bb
6ba12b02-d7cc-11e8-824f-0242ac160002,4c975388-0779-5402-ac2e-eda40bc3a324
6ba12b02-d7cc-11e8-824f-0242ac160002,a40a923f-8622-5b74-aa84-849e70cfbf65
6ba25656-d7cc-11e8-824f-0242ac160002,29c42ed3-da20-5288-a4b1-c72989c97fe4
6ba25656-d7cc-11e8-824f-0242ac160002,7be9b24a-c5cc-5882-adae-ac60664a1864
6ba25656-d7cc-11e8-824f-0242ac160002,a997e206-ba00-5087-9ac7-f301f2eb9841
6ba1cd94-d7cc-11e8-824f-0242ac160002,2d077eff-1399-5272-8c90-1970ed3c315b
6ba07a82-d7cc-11e8-824f-0242ac160002,c15920a0-cd97-5424-aab0-693100eab9ee
6b9ca5d9-d7cc-11e8-824f-0242ac160002,2445741d-152c-50b2-9c29-9bf55c047418
6b9ca5d9-d7cc-11e8-824f-0242ac160002,51ebaa2d-8bd9-5614-9ed2-2cef16cd341e
6b9ca5d9-d7cc-11e8-824f-0242ac160002,5ac573e0-035f-57d1-80ee-08510bfe8557
6b9ca5d9-d7cc-11e8-824f-0242ac160002,6cb4db86-2142-5dfe-806c-9e31ca5ef65d
6b9ca5d9-d7cc-11e8-824f-0242ac160002,d1013e8f-56fc-5553-b839-ab5eacf5e7c9
6ba0df6b-d7cc-11e8-824f-0242ac160002,37366bc7-5746-5a1c-bf97-577a56df2b9e
6ba0df6b-d7cc-11e8-824f-0242ac160002,87aec89a-e355-5021-9f76-17d56b743547
6ba07db3-d7cc-11e8-824f-0242ac160002,d822a3cc-0e07-5871-9344-0b1a3d830c43
6b9e283e-d7cc-11e8-824f-0242ac160002,1a91a235-2a8d-5ad7-930f-758df472b2b6
6b9e283e-d7cc-11e8-824f-0242ac160002,8a82f241-5bc1-5ba7-9a24-ed9c72a581d2
6b9e283e-d7cc-11e8-824f-0242ac160002,92e853a7-1f4a-57df-af59-5303d1ce5f1f
6b9e283e-d7cc-11e8-824f-0242ac160002,984b8dc3-b5db-551f-9af5-b44b06aaa40c
6ba014b5-d7cc-11e8-824f-0242ac160002,d7f72fb7-cf73-5e6f-b121-de26302ed7cd
6ba014b5-d7cc-11e8-824f-0242ac160002,fa6fd745-8337-55b1-a05b-f7f6234543a9
6ba02a8f-d7cc-11e8-824f-0242ac160002,a161c501-80f8-5a7c-886f-912181c6bb10
6b9f7d68-d7cc-11e8-824f-0242ac160002,779be2f1-070a-5d68-9928-0025fa62985f
6b9f7d68-d7cc-11e8-824f-0242ac160002,82575afc-11d9-5184-afb7-76e36fb4384b
6ba176a2-d7cc-11e8-824f-0242ac160002,21594cad-4891-5f65-97a1-5324e6d58a36
6ba176a2-d7cc-11e8-824f-0242ac160002,a1024467-ced8-57d5-ab8d-b9af6bca0f9c
6ba176a2-d7cc-11e8-824f-0242ac160002,efb98db3-4a8d-53aa-a306-54666ddf7da3
6b9c70b3-d7cc-11e8-824f-0242ac160002,87046098-2a74-5ba0-998c-6d34f6a54c4f
6b9c70b3-d7cc-11e8-824f-0242ac160002,e19d5ffa-5eb9-5a2b-bd02-313130cf64f5
